iter	MultiClass
0	1.602317433
1	1.594524669
2	1.592321307
3	1.587206343
4	1.58713262
5	1.580790724
6	1.57184053
7	1.56537407
8	1.561058103
9	1.555053136
10	1.54819335
11	1.543243181
12	1.540697487
13	1.533737371
14	1.532369875
15	1.525663572
16	1.521298149
17	1.51523706
18	1.510228556
19	1.50711841
20	1.50566381
21	1.505651874
22	1.499137577
23	1.495886331
24	1.490880043
25	1.48722428
26	1.486473333
27	1.481439385
28	1.477306815
29	1.475178793
30	1.469485831
31	1.467432196
32	1.464527491
33	1.460972058
34	1.454815558
35	1.447471463
36	1.443580113
37	1.443571033
38	1.437845684
39	1.433087703
40	1.427302304
41	1.420886274
42	1.415397278
43	1.41497545
44	1.412740564
45	1.409432044
46	1.406139126
47	1.403519018
48	1.3967554
49	1.392159102
50	1.384520807
51	1.379486619
52	1.372440718
53	1.368486647
54	1.364341016
55	1.361165774
56	1.358560154
57	1.35649803
58	1.35050904
59	1.344020883
60	1.343809218
61	1.337825378
62	1.337458104
63	1.333357271
64	1.330702903
65	1.327139436
66	1.323013411
67	1.319862134
68	1.319596284
69	1.317353193
70	1.312517606
71	1.308047661
72	1.305599395
73	1.303874144
74	1.299813665
75	1.296873371
76	1.292077163
77	1.28870762
78	1.284282908
79	1.278415754
80	1.27699338
81	1.273590646
82	1.271551327
83	1.265886651
84	1.261983916
85	1.257916048
86	1.254273761
87	1.247601945
88	1.245274494
89	1.242013894
90	1.238407953
91	1.235088518
92	1.234302562
93	1.23034494
94	1.227014021
95	1.220904199
96	1.219711705
97	1.214420106
98	1.212241452
99	1.206481023
100	1.200241154
101	1.197261096
102	1.191316173
103	1.188025463
104	1.184143788
105	1.180378568
106	1.177910886
107	1.174208847
108	1.170057263
