iter	Passed	Remaining
0	227	341618
1	288	216330
2	331	165455
3	372	139267
4	378	113248
5	423	105334
6	460	98120
7	498	92963
8	536	88885
9	575	85710
10	616	83506
11	654	81186
12	696	79673
13	738	78376
14	777	76955
15	824	76452
16	865	75495
17	915	75400
18	956	74560
19	1008	74636
20	1051	74030
21	1057	71020
22	1102	70798
23	1144	70371
24	1188	70125
25	1233	69906
26	1241	67747
27	1278	67204
28	1321	67030
29	1368	67070
30	1412	66939
31	1451	66564
32	1494	66426
33	1533	66109
34	1571	65758
35	1610	65491
36	1653	65382
37	1656	63750
38	1701	63724
39	1750	63911
40	1790	63701
41	1834	63668
42	1872	63442
43	1880	62232
44	1924	62229
45	1969	62244
46	2012	62201
47	2053	62107
48	2097	62097
49	2137	61976
50	2177	61867
51	2219	61815
52	2259	61698
53	2300	61608
54	2350	61762
55	2399	61872
56	2442	61831
57	2483	61742
58	2527	61731
59	2567	61612
60	2575	60759
61	2621	60804
62	2630	59995
63	2673	59977
64	2719	60037
65	2775	60313
66	2841	60767
67	2892	60906
68	2904	60235
69	2962	60523
70	3029	60983
71	3083	61150
72	3131	61216
73	3173	61158
74	3227	61319
75	3288	61614
76	3344	61802
77	3387	61762
78	3435	61788
79	3480	61780
80	3526	61773
81	3568	61703
82	3614	61712
83	3661	61727
84	3711	61790
85	3764	61891
86	3818	62010
87	3865	62029
88	3912	62031
89	3961	62063
90	4007	62045
91	4057	62103
92	4107	62137
93	4148	62056
94	4196	62064
95	4249	62144
96	4297	62153
97	4346	62182
98	4396	62210
99	4439	62149
100	4487	62160
101	4531	62110
102	4575	62056
103	4624	62077
104	4672	62077
105	4717	62038
106	4756	61923
107	4800	61867
108	4847	61865
